fname,fprod,pi_name,s_site,l_area,date,team,drone_v,rgb_v,ms_v,f_start,f_stop,f_alt,f_spd,f_flap,f_slap,wx,proc,klau,klau_base,flag
Rocha_SevereBurn_250726,"""Z:\2025_Work\UAS_Processing\Rocha_Adrian\Rocha_SevereBurn_250726\1_Products""",Adrian Rocha,LTREB Severe Burn Plots,Anaktuvuk Burn,250726,AC Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,10:30,11:23,35,1.7,80,80,mostly sunny ,JN Rd,,,marker aligned with lots of issues to 2023 data
Zona_GTH89_250712,Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_GTH89_FULL_250712\1_Products,Donatella Zona,Lake 395/GTH89 Thermokarst,South of Toolik Field Station,250712,RF AC Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,14:45,15:50,50,2.5,80,80,cloudy,Rd,TRUE,Galbraith Rock,
Zona_T3_Large_250805,"""Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_T3_Large_250805\1_Products""",Donatella Zona,Thermokarst Site T3,North Slope,250805,AC JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,14:53,15:09,70,3.3,80,80,partly cloudy,JN,,,flight was flown with GCPs surveyed in PPK style. Micasense aligned to x7\
Zona_T3_Small_250805,"""Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_T3_Small_250805\1_Products""",Donatella Zona,Thermokarst Site T3,North Slope,250805,AC JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,14:26,14:45,35,1.5,80,80,partly cloudy,JN,,,uses three GCPs
Zona_T4_Large_250807,"""Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_T4_Large_250807\1_Products""",Donatella Zona,Thermokarst Site T4,North Slope,250807,JN RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,14:40,15:15,70,3.5,80,80,sunny,JN,,,uses GCPs
Zona_T4_Small_250807,"""Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_T4_Small_250807\1_Products""",Donatella Zona,Thermokarst Site T4,North Slope,250807,JN RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,15:18,15:30,35,1,80,80,sunny,JN,,,aligned to T4 large
Zona_T6_250807,"""Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_T6_250807\1_Products""",Donatella Zona,Thermokarst Site T6,North Slope,250807,JN RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,16:38,16:41,35,1,80,80,sunny,MK Rd,,,uses GCPs but nto well distributed through flight and pretty poor horizontal and vertical alignment
Zona_T10_Large_250813,"""Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_T10_Large_250813\1_Products""",Donatella Zona,Thermokarst Site T10,North Slope,250813,JN RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,11:11,11:28,100,5.1,80,80,partly cloudy,MK,,,GCPs 10-20cm off in final product
 Zona_T10_Small_250813,"""Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_T10_Small_250813\1_Products""",Donatella Zona,Thermokarst Site T10,North Slope,250813,JN RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,11:35,11:41,35,1.7,80,80,partly cloudy,MK,,,GCPs 10-20cm off in final product
Zona_T12_Small_250813,"""Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_T12_Small_250813\1_Products""",Donatella Zona,Thermokarst Site T12,North Slope,250813,JN RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,13:09,13:20,35,1.7,80,80,cloudy,JN,,,three GCPs
Zona_T12_Large_250813,"""Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_T12_Large_250813\1_Products""",Donatella Zona,Thermokarst Site T12,North Slope,250813,JN RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,12:51,13:04,50,2.5,80,80,cloudy,JN ,,,7 GCPs
Zona_T15_250817,"""Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_T15_250817\1_Products""",Donatella Zona,Thermokarst Site T15,North Slope,250817,Rd MK,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,10:44,11:18,45,1.6,80,80,cloudy,Rd,,,poor laignemnt of markers surveyed using handhelf gps
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Flights,Processing ,,,,,,,,,,,,,
,,,,,Rd,36,31,,,,,,,,,Rd,31,,,
,,,,,JN,38,15,,,,,,,,,JN,15,,,
,,,,,RF,26,0,,,,,,,,,RF,0,,,
,,,,,AC,30,6,,,,,,,,,AC,6,,,
